agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|2m|10915|COLEGIO CARDENAL ANTONIO SAMORE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Medio|Urbano|74.66530116222441|74.66209985435756|71.97678189317593|78.01798904893749
2017|2m|10917|LICEO S.S JUAN PABLO SEGUNDO |1|REGION DE TARAPACA|1|IQUIQUE|1107|ALTO HOSPICIO|IQUIQUE|Municipal|Medio bajo|Urbano|81.23806316591504|82.53221900322431|79.96818279610295|85.84779888035493
2017|2m|10962|COLEGIO JUAN PABLO II|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|EL LOA|Particular subvencionado|Medio alto|Urbano|72.09815091875969|75.28878866603961|69.43786518811918|74.6665545789419
2017|2m|10967|LICEO ELEUTERIO RAMIREZ MOLINA|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|EL LOA|Municipal|Medio bajo|Urbano|80.14573990253277|74.85128957880689|73.47950329709568|79.83575181730204
2017|2m|10968|LICEO MAYOR GRAL.(E) OSCAR BONILLA|2|REGION DE ANTOFAGASTA|1|ANTOFAGASTA|2101|ANTOFAGASTA|ANTOFAGASTA|Municipal|Medio bajo|Urbano|71.69220596177119|73.14332143251129|61.12035556544973|71.75675368682333
2017|2m|10970|LICEO JORGE ALESSANDRI RODRIGUEZ|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|EL LOA|Municipal|Medio bajo|Urbano|73.05985165394249|70.9627015812616|68.85022372667629|74.00231017541834
2017|2m|11034|LICEO JORGE ALESSANDRI RODRIGUEZ|3|REGION DE ATACAMA|1|COPIAPÓ|3103|TIERRA AMARILLA|COPIAPÓ - CHAÑARAL|Municipal|Bajo|Urbano|72.08747263435494|64.2934081531249|61.99657876546246|68.63668267555302
2017|2m|11035|COLEGIO AMBROSIO O HIGGINS|3|REGION DE ATACAMA|3|HUASCO|3301|VALLENAR|HUASCO|Particular pagado|Alto|Urbano|73.09003953701264|69.6556277770602|67.24579140427056|73.46103450277867
2017|2m|11038|LICEO GENERAL RAMON FREIRE|3|REGION DE ATACAMA|3|HUASCO|3303|FREIRINA|HUASCO|Municipal|Bajo|Urbano|73.14467352842756|70.05138728588921|65.39986300928061|70.88679419781515
2017|2m|11103|COLEGIO LOS CARRERA|4|REGION DE COQUIMBO|1|ELQUI|4102|COQUIMBO|ELQUI|Particular subvencionado|Medio alto|Urbano|75.77157959259226|78.3065063736499|76.69155913479347|79.84145816643411
2017|2m|11105|COLEGIO PARTICULAR MIGUEL DE CERVANTES|4|REGION DE COQUIMBO|1|ELQUI|4102|COQUIMBO|ELQUI|Particular subvencionado|Medio|Urbano|83.89053040281439|85.04106764527789|74.17569562994585|85.60490243896976
2017|2m|11106|COLEGIO PARTICULAR SANTA MARIA|4|REGION DE COQUIMBO|3|LIMARÍ|4301|OVALLE|LIMARÍ|Particular subvencionado|Medio|Urbano|81.10629422339123|83.8957437804668|81.07613855993849|85.79650019040322
