agno;rbd;ind;prom;dif;sigdif;difgru;sigdifgru;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;nom_deprov_rbd;cod_depe2;cod_grupo;cod_rural_rbd;codigo_bdd;fecha_bbdd;grado
2024;8111;PF;66;1;0;-10;-1;LICEO BICENTENARIO QUEMCHI;10;DE LOS LAGOS;102;CHILOÉ;10209;QUEMCHI;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8162;AM;70;2;0;-4;0;LICEO ALFREDO DEL CARMEN BARRIA OYARZU;10;DE LOS LAGOS;102;CHILOÉ;10204;CURACO DE VÉLEZ;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8162;CC;71;-4;-1;-4;-1;LICEO ALFREDO DEL CARMEN BARRIA OYARZU;10;DE LOS LAGOS;102;CHILOÉ;10204;CURACO DE VÉLEZ;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8162;HV;73;-5;-1;1;0;LICEO ALFREDO DEL CARMEN BARRIA OYARZU;10;DE LOS LAGOS;102;CHILOÉ;10204;CURACO DE VÉLEZ;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8162;PF;73;-1;0;-3;0;LICEO ALFREDO DEL CARMEN BARRIA OYARZU;10;DE LOS LAGOS;102;CHILOÉ;10204;CURACO DE VÉLEZ;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8174;AM;74;4;0;0;0;LICEO BICENTENARIO INSULAR;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8174;CC;79;4;1;4;1;LICEO BICENTENARIO INSULAR;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8174;HV;76;5;1;4;0;LICEO BICENTENARIO INSULAR;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8174;PF;78;5;1;2;0;LICEO BICENTENARIO INSULAR;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8194;AM;72;0;0;-1;0;LICEO PARTICULAR RAMON FREIRE;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;2;3;1;preliminar20240422v1;20250422;2m
2024;8194;CC;80;-2;0;5;1;LICEO PARTICULAR RAMON FREIRE;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;2;3;1;preliminar20240422v1;20250422;2m
2024;8194;HV;71;-1;0;2;0;LICEO PARTICULAR RAMON FREIRE;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;2;3;1;preliminar20240422v1;20250422;2m
2024;8194;PF;81;0;0;5;1;LICEO PARTICULAR RAMON FREIRE;10;DE LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;Chiloe;2;3;1;preliminar20240422v1;20250422;2m
2024;8195;AM;83;;;9;1;ESCUELA PUQUELDON;10;DE LOS LAGOS;102;CHILOÉ;10206;PUQUELDÓN;Chiloe;1;2;1;preliminar20240422v1;20250422;2m
2024;8195;CC;83;;;8;1;ESCUELA PUQUELDON;10;DE LOS LAGOS;102;CHILOÉ;10206;PUQUELDÓN;Chiloe;1;2;1;preliminar20240422v1;20250422;2m
2024;8195;HV;73;;;2;0;ESCUELA PUQUELDON;10;DE LOS LAGOS;102;CHILOÉ;10206;PUQUELDÓN;Chiloe;1;2;1;preliminar20240422v1;20250422;2m
2024;8195;PF;84;;;7;1;ESCUELA PUQUELDON;10;DE LOS LAGOS;102;CHILOÉ;10206;PUQUELDÓN;Chiloe;1;2;1;preliminar20240422v1;20250422;2m
2024;8206;AM;69;0;0;-5;-1;LICEO BICENTENARIO MANUEL JESUS ANDRAD;10;DE LOS LAGOS;102;CHILOÉ;10203;CHONCHI;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8206;CC;75;4;1;0;0;LICEO BICENTENARIO MANUEL JESUS ANDRAD;10;DE LOS LAGOS;102;CHILOÉ;10203;CHONCHI;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8206;HV;67;4;0;-5;-1;LICEO BICENTENARIO MANUEL JESUS ANDRAD;10;DE LOS LAGOS;102;CHILOÉ;10203;CHONCHI;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8206;PF;72;3;0;-4;0;LICEO BICENTENARIO MANUEL JESUS ANDRAD;10;DE LOS LAGOS;102;CHILOÉ;10203;CHONCHI;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8255;AM;72;;;-2;0;LICEO RAYEN MAPU;10;DE LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8255;CC;75;;;0;0;LICEO RAYEN MAPU;10;DE LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8255;HV;68;;;-4;0;LICEO RAYEN MAPU;10;DE LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8255;PF;77;;;1;0;LICEO RAYEN MAPU;10;DE LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;Chiloe;1;1;1;preliminar20240422v1;20250422;2m
2024;8309;AM;72;4;1;-2;0;LICEO PENINSULAR AYACARA;10;DE LOS LAGOS;104;PALENA;10401;CHAITÉN;Palena;1;1;2;preliminar20240422v1;20250422;2m
2024;8309;CC;72;6;1;-3;0;LICEO PENINSULAR AYACARA;10;DE LOS LAGOS;104;PALENA;10401;CHAITÉN;Palena;1;1;2;preliminar20240422v1;20250422;2m
2024;8309;HV;75;0;0;3;0;LICEO PENINSULAR AYACARA;10;DE LOS LAGOS;104;PALENA;10401;CHAITÉN;Palena;1;1;2;preliminar20240422v1;20250422;2m
2024;8309;PF;74;3;0;-2;0;LICEO PENINSULAR AYACARA;10;DE LOS LAGOS;104;PALENA;10401;CHAITÉN;Palena;1;1;2;preliminar20240422v1;20250422;2m
2024;8310;AM;67;-2;0;-7;-1;COLEGIO MAURICIO HITCHCOCK;10;DE LOS LAGOS;104;PALENA;10403;HUALAIHUÉ;Llanquihue;1;1;2;preliminar20240422v1;20250422;2m
2024;8310;CC;71;-1;0;-4;-1;COLEGIO MAURICIO HITCHCOCK;10;DE LOS LAGOS;104;PALENA;10403;HUALAIHUÉ;Llanquihue;1;1;2;preliminar20240422v1;20250422;2m
2024;8310;HV;73;4;0;1;0;COLEGIO MAURICIO HITCHCOCK;10;DE LOS LAGOS;104;PALENA;10403;HUALAIHUÉ;Llanquihue;1;1;2;preliminar20240422v1;20250422;2m
2024;8310;PF;73;-3;0;-3;0;COLEGIO MAURICIO HITCHCOCK;10;DE LOS LAGOS;104;PALENA;10403;HUALAIHUÉ;Llanquihue;1;1;2;preliminar20240422v1;20250422;2m
