"rbd";"agno";"nivel";"grado";"ind";"dim";"sdim";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"fecha_bbdd";"codigo_bdd"
8;2023;MEDIA;2;AM;ME;PM;78;;22;;;;20240528;final20240528v1
8;2023;MEDIA;2;PF;PA;PP;72;16;13;;;;20240528;final20240528v1
8;2023;MEDIA;2;CC;AO;PR;88;;13;;;;20240528;final20240528v1
8;2023;MEDIA;2;HV;VA;PV;39;;61;;;;20240528;final20240528v1
8;2023;MEDIA;2;PF;VD;RD;19;41;41;;;;20240528;final20240528v1
8;2023;MEDIA;2;CC;AS;TV;78;;22;;;;20240528;final20240528v1
15;2023;MEDIA;2;AM;AA;AA;13;47;40;;;;20240528;final20240528v1
15;2023;MEDIA;2;CC;AR;AB;27;57;17;;;;20240528;final20240528v1
15;2023;MEDIA;2;HV;AC;AC;10;60;30;;;;20240528;final20240528v1
15;2023;MEDIA;2;HV;VA;AF;23;40;37;;;;20240528;final20240528v1
15;2023;MEDIA;2;HV;HA;AL;7;63;30;;;;20240528;final20240528v1
15;2023;MEDIA;2;CC;AO;AO;67;33;0;;;;20240528;final20240528v1
15;2023;MEDIA;2;CC;AR;CS;20;57;23;;;;20240528;final20240528v1
15;2023;MEDIA;2;PF;VD;EP;47;23;30;;;;20240528;final20240528v1
15;2023;MEDIA;2;AM;ME;ID;30;60;10;;;;20240528;final20240528v1
15;2023;MEDIA;2;PF;SP;IE;10;73;17;;;;20240528;final20240528v1
15;2023;MEDIA;2;CC;AS;MP;17;40;43;;;;20240528;final20240528v1
15;2023;MEDIA;2;AM;AA;PA;23;43;33;;;;20240528;final20240528v1
15;2023;MEDIA;2;HV;AC;PC;43;;57;;;;20240528;final20240528v1
15;2023;MEDIA;2;PF;VD;PD;63;23;13;;;;20240528;final20240528v1
15;2023;MEDIA;2;PF;PA;PE;77;7;17;;;;20240528;final20240528v1
15;2023;MEDIA;2;HV;HA;PH;63;;37;;;;20240528;final20240528v1
15;2023;MEDIA;2;AM;ME;PM;83;;17;;;;20240528;final20240528v1
15;2023;MEDIA;2;PF;PA;PP;50;30;20;;;;20240528;final20240528v1
15;2023;MEDIA;2;CC;AO;PR;83;;17;;;;20240528;final20240528v1
15;2023;MEDIA;2;HV;VA;PV;40;;60;;;;20240528;final20240528v1
15;2023;MEDIA;2;PF;VD;RD;10;63;27;;;;20240528;final20240528v1
15;2023;MEDIA;2;CC;AS;TV;73;;27;;;;20240528;final20240528v1
25;2023;MEDIA;2;AM;AA;AA;38;36;26;;;;20240528;final20240528v1
25;2023;MEDIA;2;CC;AR;AB;31;57;12;;;;20240528;final20240528v1
25;2023;MEDIA;2;HV;AC;AC;10;63;28;;;;20240528;final20240528v1
25;2023;MEDIA;2;HV;VA;AF;20;55;25;;;;20240528;final20240528v1
25;2023;MEDIA;2;HV;HA;AL;12;61;27;;;;20240528;final20240528v1
25;2023;MEDIA;2;CC;AO;AO;81;19;0;;;;20240528;final20240528v1
25;2023;MEDIA;2;CC;AR;CS;26;64;10;;;;20240528;final20240528v1
25;2023;MEDIA;2;PF;VD;EP;64;26;10;;;;20240528;final20240528v1
25;2023;MEDIA;2;AM;ME;ID;37;56;7;;;;20240528;final20240528v1
