rbd|agno|grado|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
3315|2019|8b|ESCUELA SILVANO FERNANDEZ|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|1|2|2|72.701258178|70.422734391|68.022695829|75.718812605
3316|2019|8b|ESCUELA SANTA ANA DE QUERI|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|1|1|2|71.003756377|66.469708523|74.496413854|69.770620251
3317|2019|8b|LICEO JUAN GOMEZ MILLAS|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|1|1|2|73.123309969|66.064816113|71.256230739|71.083499876
3318|2019|8b|ESCUELA JORGE SALGADO PICA|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|1|1|2|80.678407301||77.25961903|83.337122777
3319|2019|8b|ESCUELA ALFREDO NOGUERA PRIETO|7|DEL MAULE|74|LINARES|7407|VILLA ALEGRE|Linares|1|1|2|83.424822119|82.994525307|83.574385492|87.888181898
3321|2019|8b|ESCUELA SANTA ELENA|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|1|1|2|73.191618473|83.226325731|77.712200729|84.380115653
3323|2019|8b|ESCUELA LUIS AMBROSIO CONCHA|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|1|1|2|77.665940439|75.264455936|80.402836074|74.780860858
3325|2019|8b|ESCUELA PARTICULAR ARTURO PRAT|7|DEL MAULE|74|LINARES|7408|YERBAS BUENAS|Linares|2|1|2|73.896571441|80.220768098|86.314059491|83.845514593
3329|2019|8b|ESCUELA MAULE SUR|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|2|2|75.00681522|77.582564065|75.121201813|78.52566762
3330|2019|8b|ESCUELA LA FLORESTA|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|2|2|74.850594878|76.381503945|76.377387883|75.658712426
3332|2019|8b|ESCUELA ANDRES BELLO|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|2|2|82.163617213|87.209528718|85.656347231|88.286848851
3333|2019|8b|ESCUELA CARLOS DEL CAMPO RIVERA|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|1|2|73.228052811|74.060250472|74.670700876|75.375158052
3334|2019|8b|ESCUELA MONSENOR MANUEL LARRAIN E.|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|2|2|75.718982474|72.941829357|72.728323392|79.674979954
3335|2019|8b|ESCUELA PANIMAVIDA|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|2|2|72.946802148|71.146966408|74.162105232|76.047596563
3345|2019|8b|ESCUELA LOMAS DE PUTAGAN|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|1|1|2|76.790287515|75.645775835|80.494570751|81.619850679
3347|2019|8b|ESCUELA PARTICULAR MARTA BRUNET|7|DEL MAULE|74|LINARES|7402|COLBÚN|Linares|2|2|1|79.416190918|83.505483292|80.717168752|81.651627486
3349|2019|8b|ESCUELA JUAN DE LA CRUZ DOMINGUEZ G.|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|1|70.208728079|67.869617758|69.133117225|70.372084429
3352|2019|8b|ESCUELA ANSELMO DEL CARMEN TAPIA LOYOLA|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|83.293299898|82.992200982|82.006984169|94.36582704
3353|2019|8b|ESCUELA ROBERTO OPAZO GALVEZ|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|79.848920767|86.248236464|81.060733328|84.686864375
3354|2019|8b|ESCUELA ONOFRE VASQUEZ NORAMBUENA|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|91.424609581|88.117092396|85.777363986|90.707499244
3355|2019|8b|ESCUELA GABRIELA MISTRAL|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|79.688638619|81.932995609|77.367245223|82.69465034
3356|2019|8b|ESCUELA CARDENAL JOSE MARIA CARO|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|2|2|78.081454192|81.478029233|78.485701329|86.191443652
3358|2019|8b|ESCUELA JOSE MIGUEL CARRERA|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|2|2|83.314744427|86.645728866|87.918830936|93.183466306
3359|2019|8b|LICEO LAURA URRUTIA BENAVENTE|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|2|2|78.460015212|74.838261406|81.798353791|80.855317048
3361|2019|8b|ESCUELA FRANCISCO URRUTIA URRUTIA|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|71.070827233|72.169797112|79.302555475|74.057971628
3362|2019|8b|ESCUELA GABRIEL BENAVENTE BENAVENTE|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|76.454801863|76.754387203|79.027451317|81.405218907
3364|2019|8b|ESCUELA LUIS PEREIRA INIGUEZ|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|2|2|80.568838903||85.569219394|90.133050779
3365|2019|8b|ESCUELA MARIA AMBROSIA TAPIA MENDEZ|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|84.745360634|88.530057307|80.936033799|91.164021685
3368|2019|8b|ESCUELA JUAN SEGUNDO MUNOZ BRIONES|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|74.803618756|80.61677039|83.79727529|82.093807483
3371|2019|8b|ESCUELA PAULA JARAQUEMADA|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|68.291063713|68.974533706|73.225405267|73.587980541
3376|2019|8b|ESCUELA MARCELA PAZ|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|2|2|78.317712708|75.626533661|73.338753604|81.294454813
