agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|4b|24699|COLEGIO MAITENES|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13501|MELIPILLA|TALAGANTE|Particular pagado|Alto|Urbano|73.42891735094611|80.68972479454421|75.58737160570435|80.26226545473591
2017|4b|24705|ESCUELA BASICA VERDE VALLE|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13119|MAIPÚ|SANTIAGO PONIENTE|Particular subvencionado|Medio|Urbano|73.33717590517671|78.58062033004833|72.70304248711751|80.22963633444583
2017|4b|24713|COLEGIO EL BOSQUE PROVINCIA CORDILLERA|13|REGION METROPOLITANA DE SANTIAGO|2|CORDILLERA|13201|PUENTE ALTO|CORDILLERA|Particular subvencionado|Medio alto|Urbano|72.7960609054918|79.66330687346391|72.17105944147659|79.21329640329151
2017|4b|24714|COLEGIO SANTO TOMAS|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13112|LA PINTANA|CORDILLERA|Particular subvencionado|Medio bajo|Urbano|79.24659729701936|64.04864487568054|63.90757940234262|74.54239295065739
2017|4b|24715|COLEGIO CRISTOBAL COLON DE MELIPILLA|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13501|MELIPILLA|TALAGANTE|Particular pagado|Alto|Urbano|75.19592702257151|83.22409964426475|74.3506352482468|80.21810760313177
2017|4b|24716|ESCUELA BASICA LOS NAVIOS|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Municipal|Bajo|Urbano|75.34564155156637|69.13230950373966|67.68597573712388|76.96787440000828
2017|4b|24717|COLEGIO NUESTRA SENORA DE GUADALUPE|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13111|LA GRANJA|SANTIAGO SUR|Particular subvencionado|Medio|Urbano|74.55641784397633|74.96472267915303|68.77740898048967|80.04534030907152
2017|4b|24718|COLEGIO HUELQUEN MONTESSORI|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13115|LO BARNECHEA|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|72.32770058770201|74.92150049885399|72.94747548605123|75.49852635808293
2017|4b|24719|COLEGIO BUIN|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|SANTIAGO SUR|Particular pagado|Alto|Urbano|81.01265265541966|77.35904356380131|79.92562120973179|78.17717423540154
2017|4b|24721|COLEGIO LEONARDO DA VINCI DE LAS CONDES|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13114|LAS CONDES|SANTIAGO ORIENTE|Municipal|Medio alto|Urbano|75.00205545033231|77.45427488048208|73.55649313844936|79.56703915600903
2017|4b|24722|ESC. BASICA PART.PADRE ALBERTO HURTADO|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13107|HUECHURABA|SANTIAGO NORTE|Particular subvencionado|Medio bajo|Urbano|71.40130377042345|79.72788117046171|75.3419987682351|81.40197742617217
2017|4b|24723|COLEGIO KENDAL ENGLISH SCHOOL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13120|ÑUÑOA|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|81.71120381940416|80.04033214312523|64.82469401045495|72.1243965430437
