agno,grado,rbd,ind_am,ind_cc,ind_hv,ind_pf
2016,4b,1125,72,66,71,79
2016,4b,1128,76,70,73,81
2016,4b,1129,80,82,76,86
2016,4b,1130,85,94,85,91
2016,4b,1131,74,81,75,86
2016,4b,1132,74,75,72,88
2016,4b,1133,67,82,79,80
2016,4b,1134,68,84,65,85
2016,4b,1135,64,62,67,68
2016,4b,1136,82,73,73,78
2016,4b,1137,86,91,78,87
2016,4b,1139,75,74,64,83
2016,4b,1140,77,77,72,82
2016,4b,1142,74,75,70,74
2016,4b,1143,80,88,69,92
2016,4b,1144,94,,77,
2016,4b,1145,77,80,81,83
2016,4b,1147,82,82,76,85
2016,4b,1148,81,80,81,88
2016,4b,1149,75,73,69,79
2016,4b,1150,92,97,75,77
2016,4b,1151,81,82,68,82
2016,4b,1152,78,75,71,86
2016,4b,1156,79,77,81,89
2016,4b,1157,72,88,61,88
2016,4b,1158,84,81,61,94
2016,4b,1160,72,74,79,81
2016,4b,1161,77,78,70,81
2016,4b,1162,71,74,60,78
2016,4b,1164,77,76,68,77
2016,4b,1166,72,84,74,81
2016,4b,1168,77,73,68,82
2016,4b,1170,80,74,74,78
2016,4b,1171,70,90,91,86
2016,4b,1173,86,72,74,81
2016,4b,1174,74,70,68,74
2016,4b,1176,76,73,78,83
2016,4b,1178,81,77,70,86
2016,4b,1180,78,78,74,84
2016,4b,1181,91,89,72,75
2016,4b,1182,65,80,75,84
2016,4b,1183,77,72,65,76
2016,4b,1184,82,,75,85
2016,4b,1185,78,71,73,77
2016,4b,1189,77,76,80,83
2016,4b,1190,69,70,67,69
2016,4b,1191,77,,70,78
2016,4b,1192,75,79,75,85
2016,4b,1197,73,74,69,78
2016,4b,1198,70,67,62,70
2016,4b,1200,76,75,73,80
2016,4b,1202,75,70,65,76
2016,4b,1203,78,74,74,78
2016,4b,1204,75,66,64,76
2016,4b,1208,80,88,81,86
2016,4b,1210,70,74,62,73
2016,4b,1211,77,82,78,83
2016,4b,1212,70,81,65,89
2016,4b,1213,73,74,69,75
2016,4b,1214,76,76,80,82
2016,4b,1215,74,79,75,82
2016,4b,1216,81,87,82,89
2016,4b,1217,73,78,72,79
2016,4b,1218,74,80,74,80
2016,4b,1220,80,85,83,89
2016,4b,1221,77,74,69,77
2016,4b,1225,76,80,72,82
2016,4b,1226,75,77,66,77
2016,4b,1229,73,80,72,79
2016,4b,1233,69,74,62,77
2016,4b,1234,76,82,69,79
2016,4b,1235,75,73,74,81
2016,4b,1238,76,73,69,71
2016,4b,1239,68,86,71,84
2016,4b,1240,86,73,71,82
2016,4b,1243,73,85,78,89
2016,4b,1244,84,92,81,83
2016,4b,1245,79,81,74,87
2016,4b,1246,82,81,80,89
