rbd,agno,grado,ind,prom,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_depe2,cod_grupo,cod_rural_rbd
7707,2022,4,CC,77,COLEGIO INMACULADA CONCEPCION,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,4,1
7707,2022,4,HV,74,COLEGIO INMACULADA CONCEPCION,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,4,1
7707,2022,4,PF,81,COLEGIO INMACULADA CONCEPCION,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,4,1
7709,2022,4,AM,71,COLEGIO SAN JOSE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,3,1
7709,2022,4,CC,74,COLEGIO SAN JOSE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,3,1
7709,2022,4,HV,67,COLEGIO SAN JOSE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,3,1
7709,2022,4,PF,73,COLEGIO SAN JOSE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,3,1
7710,2022,4,AM,70,ESCUELA PARTICULAR N. 197 SAN IGNACIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,1
7710,2022,4,CC,76,ESCUELA PARTICULAR N. 197 SAN IGNACIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,1
7710,2022,4,HV,68,ESCUELA PARTICULAR N. 197 SAN IGNACIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,1
7710,2022,4,PF,75,ESCUELA PARTICULAR N. 197 SAN IGNACIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,1
7712,2022,4,AM,72,COLEGIO SAN ANTONIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7712,2022,4,CC,79,COLEGIO SAN ANTONIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7712,2022,4,HV,72,COLEGIO SAN ANTONIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7712,2022,4,PF,79,COLEGIO SAN ANTONIO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7714,2022,4,AM,72,ESCUELA PARTICULAR N. 193 NUEVA PANITAO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7714,2022,4,CC,75,ESCUELA PARTICULAR N. 193 NUEVA PANITAO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7714,2022,4,HV,75,ESCUELA PARTICULAR N. 193 NUEVA PANITAO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7714,2022,4,PF,83,ESCUELA PARTICULAR N. 193 NUEVA PANITAO,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,2,2,2
7717,2022,4,AM,77,INSTITUTO ALEMAN DE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
