"rbd";"grado";"agno";"ind";"prom";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"fecha_bbdd";"codigo_bdd"
453;4;2023;PF;83;ESCUELA IGNACIO CARRERA PINTO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
454;4;2023;AM;80;ESCUELA GREGORIO CASTILLO MARÍN;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
454;4;2023;CC;77;ESCUELA GREGORIO CASTILLO MARÍN;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
454;4;2023;HV;74;ESCUELA GREGORIO CASTILLO MARÍN;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
454;4;2023;PF;82;ESCUELA GREGORIO CASTILLO MARÍN;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
455;4;2023;AM;78;ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
455;4;2023;CC;;ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
455;4;2023;HV;74;ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
455;4;2023;PF;84;ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
458;4;2023;AM;84;ESCUELA ARTURO PÉREZ CANTO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
458;4;2023;CC;81;ESCUELA ARTURO PÉREZ CANTO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
458;4;2023;HV;77;ESCUELA ARTURO PÉREZ CANTO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
458;4;2023;PF;88;ESCUELA ARTURO PÉREZ CANTO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
459;4;2023;AM;73;ESCUELA BÁSICA ESPAÑA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
459;4;2023;CC;71;ESCUELA BÁSICA ESPAÑA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
459;4;2023;HV;69;ESCUELA BÁSICA ESPAÑA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
459;4;2023;PF;73;ESCUELA BÁSICA ESPAÑA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
461;4;2023;AM;77;ESCUELA LUIS CRUZ MARTÍNEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
461;4;2023;CC;80;ESCUELA LUIS CRUZ MARTÍNEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
461;4;2023;HV;74;ESCUELA LUIS CRUZ MARTÍNEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
461;4;2023;PF;82;ESCUELA LUIS CRUZ MARTÍNEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;1;20240528;final20240528v1
462;4;2023;AM;73;ESCUELA JOSÉ CAROCA LAFLOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
462;4;2023;CC;78;ESCUELA JOSÉ CAROCA LAFLOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
462;4;2023;HV;69;ESCUELA JOSÉ CAROCA LAFLOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
462;4;2023;PF;77;ESCUELA JOSÉ CAROCA LAFLOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
463;4;2023;AM;75;ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
463;4;2023;CC;83;ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
463;4;2023;HV;65;ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
