variable,descripcion,archivos_presentes
dif_nat8b_com,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_comuna
dif_nat8b_deprov,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_deprov
dif_nat8b_rbd,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_rbd
dif_nat8b_reg,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_region
dif_soc2m_com,Diferencia respecto al año anterior en Ciencias Sociales,"simce_2m_2017_comuna, simce_2m_2018_comuna"
dif_soc2m_deprov,Diferencia respecto al año anterior en Ciencias Sociales,"simce_2m_2017_deprov, simce_2m_2018_deprov"
dif_soc2m_rbd,Diferencia respecto al año anterior en ciencias Sociales,"simce_2m_2017_rbd, simce_2m_2018_rbd"
dif_soc2m_reg,Diferencia respecto al año anterior en ciencias Sociales,"simce_2m_2017_región, simce_2m_2018_región"
dif_soc6b_com,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__comuna
dif_soc6b_deprov,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__deprov
dif_soc6b_rbd,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__rbd
dif_soc6b_reg,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__region
dif_soc8b_com,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_comuna
dif_soc8b_deprov,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_deprov
dif_soc8b_rbd,Diferencia respecto al año anterior en ciencias sociales,simce_6b_2018_rbd
dif_soc8b_reg,Diferencia respecto al año anterior en ciencias Sociales,simce_6b_2018_region
difgru,Diferencia con el mismo GSE,"idps_2m_2024_idps, idps_2m_2025_idps, idps_4b_2024_idps, idps_4b_2025_idps, idps_6b_2024_idps, idps_8b_2025_idps"
difgru_hist8b_rbd,Diferencia con respecto al mismo GSE en Historia,simce_8b_2025__rbd
