rbd,agno,curso,prom_mate_rbd,prom_lect_rbd,cod_grupo,cod_depe2,cod_rural_rbd,ind_am,ind_cc,ind_hv,ind_pf
4102,2024,2m,280.0,266.0,1.0,1,1,,82.0,,
25496,2024,2m,277.0,240.0,2.0,2,1,,80.0,,
2442,2024,2m,248.0,241.0,1.0,2,1,,80.0,,
9844,2024,2m,269.0,258.0,1.0,2,1,,79.0,,
25396,2024,2m,238.0,242.0,2.0,2,1,,77.0,,
8748,2024,2m,338.0,306.0,5.0,3,1,,85.0,,
335,2024,2m,242.0,240.0,2.0,2,1,,89.0,,
10076,2024,2m,216.0,210.0,1.0,4,1,,72.0,,
6163,2024,2m,209.0,226.0,1.0,1,1,,83.0,,
1586,2024,2m,239.0,230.0,3.0,2,1,,72.0,,
2250,2024,2m,227.0,241.0,3.0,1,1,,79.0,,
26083,2024,2m,263.0,262.0,2.0,2,1,,83.0,,
22462,2024,2m,242.0,226.0,1.0,2,1,,79.0,,
12970,2024,2m,336.0,309.0,4.0,2,1,,86.0,,
2937,2024,2m,211.0,180.0,1.0,1,1,,76.0,,
4958,2024,2m,209.0,226.0,2.0,1,1,,78.0,,
12260,2024,2m,314.0,296.0,4.0,2,1,,89.0,,
358,2024,2m,295.0,286.0,5.0,3,1,,86.0,,
5104,2024,2m,249.0,249.0,2.0,2,1,,76.0,,
24314,2024,2m,375.0,306.0,5.0,3,1,,85.0,,
24231,2024,2m,232.0,243.0,3.0,2,1,,81.0,,
25310,2024,2m,343.0,282.0,5.0,3,1,,85.0,,
13156,2024,2m,235.0,246.0,3.0,2,1,,87.0,,
9907,2024,2m,338.0,304.0,4.0,2,1,,85.0,,
1500,2024,2m,216.0,228.0,2.0,2,1,,79.0,,
1749,2024,2m,240.0,249.0,2.0,2,1,,80.0,,
16843,2024,2m,273.0,234.0,2.0,2,1,,88.0,,
25001,2024,2m,356.0,295.0,5.0,3,1,,82.0,,
8888,2024,2m,339.0,277.0,5.0,3,1,,78.0,,
4689,2024,2m,308.0,268.0,5.0,3,1,,80.0,,
1214,2024,2m,301.0,274.0,3.0,2,1,,86.0,,
2047,2024,2m,248.0,263.0,2.0,2,1,,81.0,,
40252,2024,2m,263.0,255.0,3.0,2,1,,87.0,,
24623,2024,2m,269.0,257.0,2.0,2,1,,78.0,,
8639,2024,2m,281.0,258.0,4.0,2,1,,80.0,,
31201,2024,2m,259.0,242.0,5.0,3,1,,89.0,,
14885,2024,2m,248.0,283.0,4.0,2,1,,91.0,,
14922,2024,2m,226.0,225.0,3.0,2,1,,77.0,,
2233,2024,2m,242.0,247.0,2.0,2,1,,77.0,,
25250,2024,2m,286.0,281.0,2.0,2,1,,87.0,,
10594,2024,2m,234.0,232.0,3.0,2,1,,71.0,,
10408,2024,2m,214.0,216.0,1.0,1,2,,81.0,,
9074,2024,2m,244.0,245.0,3.0,1,1,,64.0,,
8825,2024,2m,301.0,270.0,4.0,1,1,,78.0,,
10746,2024,2m,252.0,267.0,2.0,1,1,,85.0,,
9767,2024,2m,261.0,255.0,4.0,2,1,,77.0,,
9472,2024,2m,238.0,237.0,2.0,2,1,,72.0,,
6269,2024,2m,212.0,211.0,1.0,1,1,,82.0,,
1941,2024,2m,232.0,225.0,3.0,2,1,,80.0,,
2482,2024,2m,311.0,281.0,5.0,3,1,,88.0,,
22602,2024,2m,268.0,251.0,3.0,2,1,,83.0,,
7700,2024,2m,352.0,298.0,5.0,3,1,,82.0,,
22356,2024,2m,242.0,213.0,3.0,2,1,,77.0,,
17779,2024,2m,338.0,278.0,3.0,2,1,,78.0,,
14782,2024,2m,285.0,282.0,3.0,2,1,,78.0,,
2041,2024,2m,244.0,265.0,2.0,2,1,,82.0,,
1795,2024,2m,259.0,276.0,4.0,2,1,,84.0,,
11287,2024,2m,232.0,224.0,1.0,1,1,,80.0,,
16697,2024,2m,254.0,237.0,1.0,2,1,,88.0,,
567,2024,2m,302.0,261.0,2.0,2,1,,86.0,,
6223,2024,2m,277.0,266.0,2.0,1,1,,82.0,,
