rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
19,2017,4b,236.0,249.0,Medio bajo,Urbano,Municipal,70.03188448570678,72.44869544016947,65.79799450423734,76.1959854825853
19,2017,8b,231.0,233.0,Medio bajo,Urbano,Municipal,71.76144625329505,74.84019742636974,71.826607640094,79.09222864230468
19,2018,6b,219.0,226.0,Medio bajo,Urbano,Municipal,73.367744577,72.966857302,67.326767155,77.448929988
19,2019,8b,238.0,240.0,Medio bajo,Urbano,Municipal,70.10388276,69.60341589,65.920342553,69.596754701
19,2022,4b,248.0,290.0,Medio bajo,Urbano,SLEP,81.0,80.0,78.0,86.0
19,2023,4b,246.0,268.0,Medio bajo,Urbano,SLEP,81.0,78.0,73.0,83.0
19,2024,4b,252.0,261.0,Medio bajo,Urbano,SLEP,76.0,70.0,77.0,80.0
19,2024,6b,268.0,255.0,Medio bajo,Urbano,SLEP,79.0,80.0,76.0,82.0
19,2025,4b,248.0,242.0,Medio bajo,Urbano,SLEP,77.0,74.0,81.0,75.0
19,2025,8b,256.0,208.0,Medio,Urbano,SLEP,80.0,81.0,87.0,77.0
20,2016,4b,226.0,242.0,Medio bajo,Urbano,Municipal,71.0,73.0,69.0,81.0
20,2016,6b,236.0,235.0,Medio bajo,Urbano,Municipal,75.0,70.0,65.0,79.0
20,2017,4b,244.0,258.0,Medio bajo,Urbano,Municipal,72.71863067702593,69.4938693269615,67.68034843164375,77.63918266923758
20,2017,8b,236.0,221.0,Medio,Urbano,Municipal,77.2147978552783,75.72775335984741,67.2420688443469,80.77425832275642
20,2018,6b,221.0,246.0,Medio bajo,Urbano,Municipal,74.058450834,77.267416173,68.112839702,82.388490537
20,2019,8b,229.0,229.0,Medio,Urbano,Municipal,74.806449415,75.931930291,73.019599839,81.164816985
20,2022,4b,235.0,252.0,Medio bajo,Urbano,SLEP,79.0,77.0,77.0,85.0
20,2023,4b,245.0,250.0,Medio,Urbano,SLEP,80.0,77.0,75.0,84.0
20,2024,4b,265.0,276.0,Medio bajo,Urbano,SLEP,77.0,74.0,72.0,80.0
20,2024,6b,232.0,234.0,Medio bajo,Urbano,SLEP,81.0,80.0,73.0,82.0
20,2025,4b,240.0,241.0,Bajo,Urbano,SLEP,77.0,75.0,77.0,72.0
20,2025,8b,232.0,214.0,Medio bajo,Urbano,SLEP,77.0,76.0,79.0,71.0
22,2016,4b,230.0,232.0,Medio bajo,Urbano,Municipal,71.0,72.0,66.0,74.0
22,2016,6b,220.0,226.0,Medio bajo,Urbano,Municipal,74.0,72.0,68.0,80.0
22,2017,4b,236.0,242.0,Medio bajo,Urbano,Municipal,74.88295197812029,73.3033447155597,64.40501934599446,77.37268811507707
22,2017,8b,234.0,233.0,Medio bajo,Urbano,Municipal,75.89977376729709,75.53132594489757,66.11757167470618,78.77427582491813
22,2018,6b,216.0,224.0,Medio bajo,Urbano,Municipal,69.98914189,69.369971891,64.636001325,76.422972012
22,2019,8b,246.0,224.0,Medio,Urbano,Municipal,70.846921824,71.173624682,67.249072405,76.265481558
22,2022,4b,243.0,263.0,Medio bajo,Urbano,SLEP,72.0,75.0,65.0,76.0
22,2023,4b,263.0,267.0,Medio,Urbano,SLEP,81.0,78.0,78.0,84.0
22,2024,4b,260.0,278.0,Medio,Urbano,SLEP,77.0,76.0,71.0,77.0
22,2024,6b,245.0,253.0,Medio bajo,Urbano,SLEP,77.0,76.0,75.0,80.0
22,2025,4b,259.0,258.0,Medio,Urbano,SLEP,73.0,75.0,77.0,71.0
22,2025,8b,245.0,224.0,Medio,Urbano,SLEP,70.0,71.0,74.0,73.0
25,2016,2m,192.0,211.0,Medio bajo,Urbano,Municipal,73.0,69.0,68.0,71.0
25,2016,4b,223.0,249.0,Medio bajo,Urbano,Municipal,73.0,70.0,67.0,78.0
25,2016,6b,213.0,223.0,Medio bajo,Urbano,Municipal,77.0,73.0,65.0,81.0
25,2017,2m,207.0,229.0,Medio bajo,Urbano,Municipal,76.68667211955106,74.22583356021899,63.0322884003715,79.09936355119706
25,2017,4b,218.0,221.0,Medio bajo,Urbano,Municipal,69.04360979645314,65.67967107444896,63.37049399924883,72.50979795748897
25,2017,8b,228.0,228.0,Medio bajo,Urbano,Municipal,68.39380892586588,70.23792162083508,58.96600480694096,69.43375859071072
25,2018,2m,241.0,234.0,Medio bajo,Urbano,Municipal,75.150797765,73.90046995,66.735704777,75.409206359
25,2018,6b,235.0,231.0,Medio bajo,Urbano,Municipal,74.006544031,73.985126609,58.115335446,75.56382733
25,2019,8b,274.0,249.0,Medio bajo,Urbano,Municipal,77.900251824,74.738226677,70.727471758,78.232524936
25,2022,2m,241.0,245.0,Medio bajo,Urbano,SLEP,72.0,70.0,64.0,74.0
25,2022,4b,252.0,268.0,Medio bajo,Urbano,SLEP,76.0,72.0,70.0,80.0
25,2023,2m,226.0,222.0,Medio bajo,Urbano,SLEP,71.0,73.0,71.0,76.0
25,2023,4b,243.0,253.0,Medio,Urbano,SLEP,70.0,71.0,62.0,75.0
25,2024,2m,222.0,253.0,Medio bajo,Urbano,SLEP,70.0,70.0,68.0,73.0
25,2024,4b,235.0,246.0,Medio bajo,Urbano,SLEP,74.0,76.0,72.0,78.0
25,2024,6b,235.0,231.0,Medio bajo,Urbano,SLEP,72.0,70.0,68.0,73.0
25,2025,2m,233.0,251.0,Medio bajo,Urbano,SLEP,76.0,77.0,79.0,73.0
25,2025,4b,255.0,258.0,Medio bajo,Urbano,SLEP,74.0,71.0,77.0,70.0
25,2025,8b,230.0,221.0,Medio bajo,Urbano,SLEP,64.0,65.0,67.0,66.0
26,2016,4b,264.0,319.0,Medio bajo,Urbano,Municipal,80.0,82.0,74.0,86.0
26,2016,6b,234.0,258.0,Medio bajo,Urbano,Municipal,70.0,76.0,69.0,75.0
26,2017,4b,311.0,292.0,Medio bajo,Urbano,Municipal,73.70685649298838,77.89542995796323,71.65781835306264,80.15359290795584
26,2017,8b,267.0,241.0,Medio bajo,Urbano,Municipal,83.12951599841732,83.9863445568625,83.37119981898572,90.19812073459934
26,2018,6b,257.0,256.0,Medio bajo,Urbano,Municipal,80.616989988,82.246943722,66.9635706,81.751885125
26,2019,8b,284.0,264.0,Medio,Urbano,Municipal,91.735090003,91.729656861,90.13612513,96.29601309
26,2022,4b,230.0,247.0,Medio bajo,Urbano,SLEP,73.0,78.0,67.0,78.0
26,2023,4b,259.0,257.0,Medio bajo,Urbano,SLEP,75.0,67.0,69.0,73.0
26,2024,4b,264.0,264.0,Medio bajo,Urbano,SLEP,76.0,79.0,74.0,78.0
26,2024,6b,258.0,252.0,Medio bajo,Urbano,SLEP,86.0,82.0,76.0,87.0
26,2025,4b,250.0,261.0,Medio bajo,Urbano,SLEP,74.0,78.0,82.0,72.0
26,2025,8b,244.0,231.0,Medio bajo,Urbano,SLEP,81.0,80.0,84.0,76.0
27,2016,4b,257.0,248.0,Medio,Urbano,Municipal,80.0,74.0,68.0,82.0
27,2016,6b,237.0,207.0,Medio bajo,Urbano,Municipal,72.0,76.0,67.0,81.0
27,2017,4b,264.0,274.0,Medio bajo,Urbano,Municipal,70.7282763000377,76.24267054340804,61.32190823760831,73.7635299977361
27,2017,8b,262.0,239.0,Medio,Urbano,Municipal,77.33417390982795,73.86532026853381,65.53253752488867,76.68411112982342
27,2018,6b,283.0,255.0,Medio,Urbano,Municipal,78.404725976,81.143373991,74.878130344,86.237854278
27,2019,8b,272.0,260.0,Medio,Urbano,Municipal,87.644043774,85.075454809,82.40512759,91.946905926
27,2022,4b,277.0,274.0,Medio,Urbano,SLEP,79.0,80.0,73.0,87.0
27,2023,4b,281.0,298.0,Medio,Urbano,SLEP,82.0,80.0,77.0,85.0
27,2024,4b,305.0,298.0,Medio,Urbano,SLEP,76.0,76.0,70.0,78.0
27,2024,6b,257.0,273.0,Medio,Urbano,SLEP,92.0,89.0,82.0,94.0
27,2025,4b,255.0,251.0,Medio bajo,Urbano,SLEP,77.0,76.0,83.0,72.0
27,2025,8b,251.0,222.0,Medio,Urbano,SLEP,79.0,83.0,86.0,75.0
