rbd,agno,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
449,2017,211.0,218.0,Medio bajo,Urbano,Municipal,73.77919378075288,68.57779958804804,62.55165560552202,70.85475375039564
478,2017,311.0,300.0,Medio alto,Urbano,Particular subvencionado,73.6556915518763,83.66494287695866,75.40319082911073,79.46484417315081
479,2017,288.0,271.0,Medio,Urbano,Particular subvencionado,74.65494642691799,78.34046357504359,69.33982999448351,78.15643301840163
486,2017,208.0,234.0,Medio bajo,Urbano,Municipal,76.99525444003893,73.93690958332583,63.393425505046196,77.67480767279748
516,2017,247.0,248.0,Medio bajo,Urbano,Municipal,76.7296310233543,76.43363444023153,66.18019202332565,82.3856385029097
517,2017,282.0,282.0,Medio bajo,Urbano,Municipal,76.09690613867525,80.57131974040115,70.88439461948536,83.75292284221139
518,2017,211.0,229.0,Medio bajo,Urbano,Municipal,75.3907908234083,75.73654767075206,70.2943561107038,78.0949191152625
526,2017,288.0,293.0,Medio,Urbano,Municipal,73.96278125015749,81.61686901728706,73.60814148009757,80.23128275752147
530,2017,219.0,229.0,Medio bajo,Urbano,Municipal,74.55229232767968,74.79080438950967,63.80461334480425,73.44699011936608
531,2017,223.0,243.0,Medio bajo,Urbano,Municipal,75.69062968528706,78.39817042782714,69.6263916792549,83.90519534029596
535,2017,225.0,219.0,Medio,Urbano,Municipal,75.84755414292955,72.84947208511366,62.555160749874396,73.35269509312552
565,2017,262.0,273.0,Medio,Urbano,Particular subvencionado,67.24106949147908,74.92901171581782,73.49199186461374,72.92581998232147
567,2017,315.0,282.0,Medio,Urbano,Particular subvencionado,74.01364074567584,81.32084251362286,69.4956368690481,81.69141776079103
568,2017,292.0,261.0,Medio alto,Urbano,Particular subvencionado,72.20384454662965,76.39422348213738,62.24121850452505,75.60338140962745
570,2017,292.0,293.0,Medio,Urbano,Particular subvencionado,74.62249722372452,85.87954355476347,73.84660122181452,82.05675741059497
573,2017,334.0,297.0,Medio alto,Urbano,Particular subvencionado,78.52089596272073,84.95362924362654,75.07239641974748,85.46086164775988
574,2017,260.0,244.0,Medio,Urbano,Particular subvencionado,73.13270118332461,74.28794815785118,66.88937818294127,78.41510893180714
575,2017,248.0,248.0,Medio bajo,Urbano,Particular subvencionado,79.392372369536,82.96206423431117,77.49458278274824,83.618887433665
578,2017,208.0,229.0,Bajo,Urbano,Municipal,75.598618509971,77.02222415198301,67.15723026333463,77.60481288838616
579,2017,311.0,278.0,Medio alto,Urbano,Particular subvencionado,79.0087972912931,79.65970511853486,71.03755287596016,82.31860599968952
580,2017,358.0,295.0,Medio alto,Urbano,Particular subvencionado,78.44321827683885,83.79621303261251,75.59117662768372,87.07569971001615
581,2017,293.0,258.0,Medio alto,Urbano,Particular subvencionado,75.54382940831975,71.54573331404244,60.77269670707155,75.39796048070443
582,2017,330.0,275.0,Medio alto,Urbano,Particular subvencionado,78.24981842372277,78.16728403721365,78.7476912614591,80.87999075900231
583,2017,351.0,304.0,Medio alto,Urbano,Particular subvencionado,77.09312663252899,83.10077600510239,70.99084975233421,84.41737854793782
585,2017,351.0,290.0,Alto,Urbano,Particular pagado,74.42032850465183,76.63189167416934,74.20734918796165,77.85297228907473
587,2017,353.0,301.0,Alto,Urbano,Particular pagado,80.9056890263219,86.66275178284326,78.15124337804392,82.62943368654247
589,2017,331.0,275.0,Medio alto,Urbano,Particular subvencionado,82.43104876017588,76.48817277594729,70.63072678390155,76.82637817315683
590,2017,345.0,276.0,Medio,Urbano,Particular subvencionado,73.24395478609338,83.0527000282654,70.79414059817209,78.96267347378524
591,2017,351.0,290.0,Alto,Urbano,Particular pagado,78.24899924785255,83.93281861686415,83.14504710543765,87.80728387288408
597,2017,208.0,236.0,Medio bajo,Urbano,Municipal,73.2737485871029,74.01529202844306,75.57734837475202,81.31530453100363
609,2017,282.0,271.0,Medio bajo,Urbano,Municipal,83.49183974951923,82.546501021596,76.14504624551526,86.94949818641682
610,2017,209.0,208.0,Medio bajo,Urbano,Municipal,70.53983768153192,70.4741663560097,61.68734790519002,71.48933045834406
611,2017,220.0,242.0,Medio bajo,Urbano,Municipal,73.92147848762104,71.93188517270767,68.86297541686987,75.25159051266381
613,2017,243.0,256.0,Medio bajo,Urbano,Municipal,73.29969315594491,71.94065413851736,67.47547615768639,75.95546213898137
629,2017,224.0,218.0,Medio bajo,Rural,Municipal,76.6565675908166,68.2515798250231,66.70780411930592,72.79055683879159
646,2017,238.0,248.0,Medio bajo,Urbano,Particular subvencionado,73.03622367499095,72.28640804839978,64.48128400205965,75.29480941382236
647,2017,258.0,244.0,Medio bajo,Urbano,Particular subvencionado,75.01658989801419,73.59348978800992,68.0661014689004,74.71496204362913
648,2017,304.0,276.0,Medio alto,Urbano,Particular subvencionado,75.51062839840765,81.99831708537093,70.67021154256861,81.03162940370838
649,2017,298.0,269.0,Medio,Urbano,Particular subvencionado,76.39138410906241,79.74228559031349,73.17683150612808,80.17249522016314
656,2017,223.0,241.0,Bajo,Urbano,Municipal,73.77718303006272,72.51263620378481,71.34132414672,79.23011936067249
664,2017,277.0,288.0,Medio bajo,Urbano,Particular subvencionado,80.60001984441357,82.6861055332787,78.24634994846184,83.33491111422332
665,2017,214.0,225.0,Bajo,Urbano,Municipal,75.83878019994756,75.05481117335731,74.44052356265085,80.60497651861994
690,2017,282.0,256.0,Medio bajo,Urbano,Particular subvencionado,74.05688954237492,76.6123186508134,74.69882645288116,77.31109112978167
701,2017,194.0,210.0,Bajo,Urbano,Municipal,70.712079937973,72.09640465811779,70.62679420801865,74.61824420096714
704,2017,290.0,298.0,Medio bajo,Urbano,Municipal,78.14478828869936,81.50753742431031,72.92508601507333,82.81396277998519
705,2017,247.0,256.0,Medio bajo,Urbano,Municipal,74.45719629855924,75.6306191883753,69.70143848522905,79.01627509965357
763,2017,278.0,287.0,Medio,Urbano,Particular subvencionado,73.4385166274727,77.0484136705285,70.49881006375003,80.15396413413931
766,2017,297.0,272.0,Medio bajo,Urbano,Particular subvencionado,76.41434252858414,80.00486448339247,76.19067023745679,82.69733052462476
767,2017,268.0,266.0,Medio,Urbano,Particular subvencionado,76.58634003744449,78.43886136104538,66.13645310869589,78.22845420456396
768,2017,239.0,251.0,Bajo,Urbano,Particular subvencionado,75.65859482532852,84.14603004659453,79.41067436706224,79.99329299224775
769,2017,316.0,303.0,Medio alto,Urbano,Particular subvencionado,72.26275224166446,78.61190002164354,72.483676595161,79.16699280565065
770,2017,351.0,304.0,Alto,Urbano,Particular pagado,75.9870879092499,80.62677819801083,77.23894511008018,78.42743980509434
772,2017,251.0,245.0,Medio bajo,Urbano,Particular subvencionado,76.87300512938549,78.19983670994563,72.0476990514954,83.10322609253114
774,2017,227.0,255.0,Bajo,Rural,Municipal,75.30655208159041,72.68747770816267,68.05725480197694,76.6442333910648
799,2017,214.0,205.0,Bajo,Urbano,Municipal,72.3242845273661,73.77848786407088,72.11266066908433,76.49988897267072
802,2017,217.0,212.0,Bajo,Urbano,Municipal,72.43673850903127,72.17592306965156,65.39555191318703,74.1221982097921
845,2017,240.0,257.0,Bajo,Urbano,Municipal,70.70239715353357,72.03491707005857,73.79592146891385,74.2735990236914
967,2017,231.0,242.0,Medio bajo,Urbano,Municipal,72.30064295316764,71.87614254237882,72.29766130785076,76.9366598818933
968,2017,207.0,211.0,Bajo,Urbano,Municipal,70.26257157202748,70.22613960117503,69.84825487654643,76.29352989951542
982,2017,206.0,216.0,Bajo,Urbano,Municipal,76.84269502090132,79.85039199310188,76.94270615764121,87.66130660616285
987,2017,302.0,266.0,Medio,Urbano,Particular subvencionado,75.74310176194622,76.21550966652846,75.15735392351938,81.82707755543606
988,2017,227.0,237.0,Bajo,Urbano,Particular subvencionado,71.75185211473215,75.89300779078125,72.37861759494244,75.68212931476133
1013,2017,201.0,223.0,Bajo,Urbano,Municipal,73.15069617146642,73.96508608499973,73.2262008496952,77.41042916585148
1036,2017,247.0,250.0,Medio,Urbano,Particular subvencionado,72.26451237964382,76.90089440501342,76.52239340930221,77.28668341033813
1048,2017,218.0,245.0,Bajo,Urbano,Municipal,73.7162097163684,71.79356104407995,74.98281744276137,77.75258160949966
1119,2017,285.0,286.0,Medio bajo,Urbano,Particular subvencionado,79.84600425901529,80.10292397902072,79.00463765708037,81.37401227831518
1121,2017,207.0,208.0,Bajo,Urbano,Municipal,74.56364700023451,70.02876018051349,66.77829705538184,74.97301803097757
1123,2017,180.0,220.0,Medio bajo,Urbano,Municipal,73.61046400182401,68.98487420897402,72.48909811516656,74.70911312470734
1148,2017,233.0,233.0,Medio bajo,Urbano,Municipal,69.49032865635145,72.15284948913128,70.82925659377429,76.55642789631241
1149,2017,205.0,235.0,Bajo,Rural,Municipal,77.31871300592854,82.73620659160206,87.32545618934526,84.50579254684308
1164,2017,266.0,253.0,Medio bajo,Urbano,Particular subvencionado,76.24718336549971,76.61447100310968,75.6773337491386,76.23150926145682
1167,2017,216.0,213.0,Bajo,Urbano,Municipal,68.67310519091463,70.14043100829103,69.73093188524162,74.16729897944774
1183,2017,275.0,259.0,Medio bajo,Urbano,Municipal,69.84162379690218,73.40076341392371,64.25507019177526,77.91089275891724
1190,2017,340.0,294.0,Medio alto,Urbano,Particular subvencionado,86.64324057841844,83.32283045430559,83.67916678306258,90.14592240271189
1194,2017,249.0,241.0,Medio,Urbano,Municipal,74.0934472726383,71.23698176064346,69.13526440127902,73.61575010682093
1195,2017,235.0,247.0,Medio bajo,Urbano,Particular subvencionado,75.4244661423497,81.60375417601696,77.65211828982854,84.14231078617145
1196,2017,200.0,217.0,Bajo,Urbano,Municipal,72.92127053078251,70.74046003764049,70.92051498504637,73.46713864418231
1198,2017,217.0,228.0,Medio bajo,Urbano,Municipal,77.23599720184347,77.79756064243162,78.38500429858622,82.6245902769447
1199,2017,187.0,203.0,Bajo,Urbano,Municipal,70.0546327001986,75.12497679168177,71.94554939181268,75.90536764441232
1213,2017,240.0,236.0,Medio bajo,Urbano,Particular subvencionado,73.65195712638717,75.64069889575542,70.80753443323482,78.26140327344395
1214,2017,297.0,287.0,Medio,Urbano,Particular subvencionado,73.89062398279971,80.94347759851094,74.66056402530714,79.77296326722706
1225,2017,335.0,292.0,Alto,Urbano,Particular pagado,74.78897626406585,77.8094244267915,76.64448804496911,80.58717367567756
1260,2017,265.0,268.0,Medio bajo,Urbano,Particular subvencionado,76.73743587734873,76.99482278361594,83.08529948026167,80.60867674410576
1261,2017,229.0,247.0,Bajo,Urbano,Municipal,75.63946100305041,82.21358931825517,83.03716132865071,85.3100763282766
1262,2017,304.0,279.0,Medio bajo,Urbano,Particular subvencionado,81.3117811558843,85.37533419872935,74.86688384244144,88.15756117392789
1263,2017,223.0,250.0,Medio bajo,Urbano,Municipal,71.9296795833639,74.98478650220797,66.65266325921976,73.27879873038995
1264,2017,245.0,249.0,Bajo,Urbano,Municipal,73.11893164428322,74.616436573524,67.49789125876507,71.45055138397984
1288,2017,338.0,305.0,Alto,Urbano,Particular pagado,76.59131907742686,79.08406558084916,76.99775773091031,77.80407794819335
1289,2017,187.0,203.0,Bajo,Urbano,Particular subvencionado,70.54321508078425,70.1885338115761,69.33660406832568,75.65655391396044
1290,2017,286.0,275.0,Medio,Urbano,Particular subvencionado,79.34616255026113,86.38111805839272,78.37994859149809,83.17933551539714
1291,2017,276.0,303.0,Medio alto,Urbano,Particular subvencionado,72.25487719984518,82.66511288668494,81.07617207746695,73.6082903080052
1294,2017,321.0,289.0,Medio,Urbano,Particular subvencionado,76.94729315901215,83.39792536448296,71.62540851674719,82.26851316972842
1300,2017,233.0,237.0,Medio bajo,Urbano,Particular subvencionado,76.25087520681119,78.54008492405293,71.90002512855864,80.25187871358875
1301,2017,214.0,231.0,Bajo,Urbano,Municipal,70.98701849846334,70.90655912251208,71.73233778921016,75.67307465056702
1302,2017,187.0,206.0,Bajo,Urbano,Municipal,68.59141304919011,72.28255709702108,66.57215376545318,79.91171340540566
1318,2017,204.0,222.0,Bajo,Urbano,Municipal,79.89554963317245,71.31598352646671,69.3200058620613,78.13794411877055
1327,2017,242.0,243.0,Medio bajo,Urbano,Particular subvencionado,74.66291542134903,82.69416128443366,77.00452482802041,81.43184817068502
1335,2017,239.0,245.0,Medio bajo,Urbano,Municipal,73.8243401731996,75.59505400579536,73.46098724282517,79.51499895280584
1347,2017,244.0,222.0,Medio bajo,Urbano,Particular subvencionado,75.73142970595237,74.75113921098442,71.591809237494,78.57489471466589
1354,2017,252.0,251.0,Medio bajo,Urbano,Municipal,82.1427577324208,84.68761170505682,81.74624414908227,86.35139362186762
1361,2017,255.0,238.0,Medio bajo,Urbano,Particular subvencionado,78.97557004943897,83.59751758813866,74.72146968715984,86.24159609660482
1362,2017,235.0,221.0,Bajo,Urbano,Particular subvencionado,71.75819589044791,74.31834803058739,75.41800955160541,79.52306389370102
1363,2017,197.0,190.0,Medio bajo,Urbano,Municipal,69.62319037430868,70.82457487444435,71.0048658856574,72.72744327773135
1364,2017,272.0,263.0,Medio bajo,Urbano,Municipal,69.32614255305833,79.49495974764592,73.17291269000992,78.37363312654479
1366,2017,232.0,238.0,Medio bajo,Urbano,Municipal,71.80250124535911,69.46104419615853,68.32749794381694,70.71300103099878
1370,2017,227.0,221.0,Bajo,Urbano,Municipal,81.83436181221782,88.8180303573382,82.28331126664449,88.94184102232731
1371,2017,272.0,274.0,Medio bajo,Urbano,Municipal,79.8287565494494,84.63648700573647,74.92403001010817,89.90925804016685
