agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_soc6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_soc6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_soc6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_soc6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_soc6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_soc6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_soc6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_soc6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica
2016|20171024|final20171024v1|6b|22462|6|COLEGIO BERNARDO FELMER NIKLITSCHEK|14|REGION DE LOS RIOS|1|VALDIVIA|14103|LANCO|VALDIVIA|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|27|28|27|227|242|238|-29|10|4|-8|8|5|Negativa y significativa|No significativa|No significativa|Negativa y significativa|Positiva y significativa|No significativa|||||||63|25.9|11.1|35.700001|46.400002|17.9|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22467|7|COLEGIO LAFQUEN MONTESSORI PUERTO MONTT|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|13|14|13|237|240|271|5|-8|-1|-28|-33|5|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|||||||46.200001|38.5|15.4|35.700001|50|14.3|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22476|6|COLEGIO SAN JOSE|14|REGION DE LOS RIOS|1|VALDIVIA|14106|MARIQUINA|VALDIVIA|Municipal DAEM|Municipal|Bajo|Urbano|17|16|17|218|215|228|30|38|41|-14|-12|1|Positiva y significativa|Positiva y significativa|Positiva y significativa|Negativa y significativa|No significativa|No significativa|||||||58.799999|41.200001|0|50|50|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22478|2|COLEGIO POLITECNICO DEGLI MONTI|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10109|PUERTO VARAS|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Medio bajo|Rural|11|12|0|255|249|||||20|15||No significativa|No significativa||Positiva y significativa|Positiva y significativa||||Alumnos insuficientes|Con marca medición anterior: No reporte|Con marca medición anterior: No reporte|Alumnos insuficientes para comparación|18.200001|54.5|27.299999|25|58.299999|16.700001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22480|4|COLEGIO LOS ALERCES|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Municipal DAEM|Municipal|Bajo|Urbano|74|73|74|207|211|199|9|10|-17|-25|-16|-28|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||68.900002|25.700001|5.4000001|67.099998|31.5|1.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22486|3|ESCUELA SAN FRANCISCO DE LLENEHUE|14|REGION DE LOS RIOS|1|VALDIVIA|14106|MARIQUINA|VALDIVIA|Particular subvencionado|Particular subvencionado|Bajo|Rural|1|1|0||||||||||No significativa|No significativa||No significativa|No significativa||Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22489|8|ESCUELA PARTICULAR RAYEN QUITRAL|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Bajo|Rural|21|21|21|233|229|242|-14|-19|4|1|2|15|No significativa|Negativa y significativa|No significativa|No significativa|No significativa|Positiva y significativa|||||||47.599998|38.099998|14.3|61.900002|23.799999|14.3|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22492|8|ESCUELA PARTICULAR TICALHUE|14|REGION DE LOS RIOS|1|VALDIVIA|14106|MARIQUINA|VALDIVIA|Particular subvencionado|Particular subvencionado|Bajo|Rural|3|4|0|248|247||||||||No significativa|No significativa||No significativa|No significativa||||Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22493|6|ESCUELA VICENTE PEREZ ROSALES|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10105|FRUTILLAR|LLANQUIHUE|Municipal DAEM|Municipal|Bajo|Urbano|27|28|27|229|216|232|14|8|14|-3|-11|5|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|No significativa|||||||55.599998|33.299999|11.1|64.300003|35.700001|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22495|2|COLEGIO PARTICULAR CARDENAL RAUL SILVA HENRIQ|14|REGION DE LOS RIOS|2|RANCO|14204|RÍO BUENO|RANCO|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|27|27|27|270|248|248|22|8|5|35|14|15|Positiva y significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||22.200001|37|40.700001|40.700001|33.299999|25.9|Rbd y curso rinde Simce
