agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_nat6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_nat6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_nat6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_nat6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_nat6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_nat6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_nat6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_nat6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2018|6b|10032|3|ESCUELA BASICA PARTICULAR  Nº 488 `ZENO|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|3|1|36|36|36|227|221|220|-32|-36|-22|-25|-32|-34|-1|-1|-1|-1|-1|-1|||||||58.3|30.6|11.1|55.6|38.9|5.6|0|20190628|final20190628v1
2018|6b|10035|8|ESCUELA PARTICULAR NUEVO HORIZONTE|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|2|1|28|30|30|231|232|239|-34|-22|12|-7|-4|2|-1|-1|0|-1|0|0|||||||57.1|25|17.9|40|56.7|3.3|0|20190628|final20190628v1
2018|6b|10036|6|ESCUELA PARTICULAR PDTE. ABRAHAM LINCOL|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|3|1|65|64|65|238|239|246|-16|-22|-5|-14|-14|-8|-1|-1|0|-1|-1|-1|||||||44.6|35.4|20|34.4|54.7|10.9|0|20190628|final20190628v1
2018|6b|10041|2|COLEGIO SAINT MARK|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|2|1|40|41|40|229|220|230|2|9|10|-9|-16|-7|0|0|0|-1|-1|0|||||||57.5|17.5|25|58.5|31.7|9.8|0|20190628|final20190628v1
2018|6b|10042|0|ESCUELA PARTICULAR ELVIRA HURTADO DE M.|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|4|1|86|84|86|260|277|279|-19|-25|-21|-5|6|6|-1|-1|-1|-1|1|0|||||||29.1|36|34.9|13.1|48.8|38.1|0|20190628|final20190628v1
2018|6b|10046|3|ESCUELA PARTICULAR SAGRADA FAMILIA|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|3|1|70|73|70|246|262|244|-18|-35|-4|-6|9|-10|-1|-1|0|-1|1|-1|||||||48.6|20|31.4|21.9|46.6|31.5|0|20190628|final20190628v1
2018|6b|10058|7|COLEGIO POLIVALENTE PRINCIPE DE GALES|13|Región Metropolitana de Sant|131|SANTI|13106|Estac|134|PONIE|3|2|3|1|43|44|43|248|239|251|7|-8|9|-4|-14|-3|0|0|0|0|-1|0|||||||37.2|32.6|30.2|29.5|61.4|9.1|0|20190628|final20190628v1
2018|6b|10063|3|ESCUELA PARTICULAR CARMEN CHACON|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|3|1|25|25|25|249|243|256|0|-5|23|-3|-10|2|0|0|1|0|-1|0|||||||40|40|20|36|48|16|0|20190628|final20190628v1
2018|6b|10064|1|ESCUELA PARTICULAR MARIA CRISTINA|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|3|1|34|34|34|250|246|248|-12|-4|-14|-2|-7|-6|0|0|0|0|-1|0|||||||44.1|26.5|29.4|32.4|47.1|20.6|0|20190628|final20190628v1
2018|6b|10069|2|COLEGIO MARQUEL|13|Región Metropolitana de Sant|131|SANTI|13126|Quint|134|PONIE|3|2|3|1|77|75|77|239|256|245|23|18|-5|-13|3|-9|1|1|0|-1|0|-1|||||||45.5|29.9|24.7|36|33.3|30.7|0|20190628|final20190628v1
2018|6b|10074|9|ESCUELA ALIANZA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|1|1|29|30|29|225|210|220|-3|10|11|-6|-16|-6|0|0|0|0|-1|0|||||||51.7|37.9|10.3|66.7|33.3|0|0|20190628|final20190628v1
2018|6b|10076|5|COMPLEJO EDUCACIONAL PEDRO PRADO|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|24|24|24|218|213|217|-13|-7|-1|-20|-23|-20|0|0|0|-1|-1|-1|||||||62.5|20.8|16.7|58.3|33.3|8.3|0|20190628|final20190628v1
2018|6b|10080|3|ESCUELA TENIENTE HERNAN MERINO CORREA|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|33|30|33|249|245|243|28|9|-3|11|9|6|1|0|0|1|1|0|||||||30.3|42.4|27.3|36.7|53.3|10|0|20190628|final20190628v1
2018|6b|10081|1|ESCUELA ESTRELLA DE CHILE|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|124|124|124|227|224|225|-12|-15|-19|-11|-12|-12|-1|-1|-1|-1|-1|-1|||||||54|27.4|18.5|52.4|41.1|6.5|0|20190628|final20190628v1
2018|6b|10083|8|ESCUELA PRESIDENTE ROOSEVELT|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|56|58|56|215|211|212|-18|0|-20|-23|-25|-25|-1|0|-1|-1|-1|-1|||||||64.3|19.6|16.1|67.2|29.3|3.4|0|20190628|final20190628v1
2018|6b|10085|4|ESCUELA ESTADO DE FLORIDA|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|66|68|66|248|234|259|1|-11|14|10|-2|22|0|0|0|1|0|1|||||||37.9|34.8|27.3|44.1|47.1|8.8|0|20190628|final20190628v1
2018|6b|10086|2|ESCUELA REPUBLICA DE ITALIA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|26|25|26|223|215|221|11|5|-15|-15|-21|-16|0|0|0|-1|-1|-1|||||||61.5|26.9|11.5|56|44|0|0|20190628|final20190628v1
