rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
22,2022,4b,243.0,263.0,Medio bajo,Urbano,SLEP,72.0,75.0,65.0,76.0
22,2023,4b,263.0,267.0,Medio,Urbano,SLEP,81.0,78.0,78.0,84.0
22,2024,4b,260.0,278.0,Medio,Urbano,SLEP,77.0,76.0,71.0,77.0
22,2025,4b,259.0,258.0,Medio,Urbano,SLEP,73.0,75.0,77.0,71.0
25,2016,4b,223.0,249.0,Medio bajo,Urbano,Municipal,73.0,70.0,67.0,78.0
25,2017,4b,218.0,221.0,Medio bajo,Urbano,Municipal,69.04360979645314,65.67967107444896,63.37049399924883,72.50979795748897
25,2022,4b,252.0,268.0,Medio bajo,Urbano,SLEP,76.0,72.0,70.0,80.0
25,2023,4b,243.0,253.0,Medio,Urbano,SLEP,70.0,71.0,62.0,75.0
25,2024,4b,235.0,246.0,Medio bajo,Urbano,SLEP,74.0,76.0,72.0,78.0
25,2025,4b,255.0,258.0,Medio bajo,Urbano,SLEP,74.0,71.0,77.0,70.0
26,2016,4b,264.0,319.0,Medio bajo,Urbano,Municipal,80.0,82.0,74.0,86.0
26,2017,4b,311.0,292.0,Medio bajo,Urbano,Municipal,73.70685649298838,77.89542995796323,71.65781835306264,80.15359290795584
26,2022,4b,230.0,247.0,Medio bajo,Urbano,SLEP,73.0,78.0,67.0,78.0
26,2023,4b,259.0,257.0,Medio bajo,Urbano,SLEP,75.0,67.0,69.0,73.0
26,2024,4b,264.0,264.0,Medio bajo,Urbano,SLEP,76.0,79.0,74.0,78.0
26,2025,4b,250.0,261.0,Medio bajo,Urbano,SLEP,74.0,78.0,82.0,72.0
27,2016,4b,257.0,248.0,Medio,Urbano,Municipal,80.0,74.0,68.0,82.0
27,2017,4b,264.0,274.0,Medio bajo,Urbano,Municipal,70.7282763000377,76.24267054340804,61.32190823760831,73.7635299977361
27,2022,4b,277.0,274.0,Medio,Urbano,SLEP,79.0,80.0,73.0,87.0
27,2023,4b,281.0,298.0,Medio,Urbano,SLEP,82.0,80.0,77.0,85.0
27,2024,4b,305.0,298.0,Medio,Urbano,SLEP,76.0,76.0,70.0,78.0
27,2025,4b,255.0,251.0,Medio bajo,Urbano,SLEP,77.0,76.0,83.0,72.0
28,2016,4b,263.0,271.0,Medio,Urbano,Municipal,74.0,80.0,73.0,81.0
28,2017,4b,287.0,307.0,Medio,Urbano,Municipal,83.20821385730429,85.24785461768921,71.02913907604169,86.27408791559506
28,2022,4b,256.0,272.0,Medio,Urbano,SLEP,75.0,82.0,71.0,82.0
28,2023,4b,269.0,285.0,Medio alto,Urbano,SLEP,76.0,82.0,70.0,83.0
28,2024,4b,301.0,293.0,Medio alto,Urbano,SLEP,83.0,83.0,77.0,86.0
28,2025,4b,287.0,291.0,Medio,Urbano,SLEP,79.0,80.0,81.0,72.0
29,2016,4b,235.0,233.0,Medio bajo,Urbano,Municipal,73.0,76.0,69.0,80.0
29,2017,4b,248.0,263.0,Medio bajo,Urbano,Municipal,72.74005284497586,75.91213846823148,68.2991353432423,81.11154462624967
29,2022,4b,253.0,278.0,Bajo,Urbano,SLEP,85.0,84.0,80.0,91.0
29,2023,4b,209.0,214.0,Medio bajo,Urbano,SLEP,71.0,68.0,60.0,74.0
29,2024,4b,240.0,251.0,Medio bajo,Urbano,SLEP,82.0,80.0,75.0,82.0
29,2025,4b,227.0,264.0,Medio bajo,Urbano,SLEP,81.0,80.0,79.0,72.0
31,2016,4b,256.0,258.0,Bajo,Rural,Municipal,72.0,74.0,64.0,75.0
31,2017,4b,255.0,256.0,Bajo,Rural,Municipal,75.48846022325475,71.19761467764782,68.10004532826514,74.07997861663564
31,2022,4b,257.0,242.0,Bajo,Rural,SLEP,71.0,72.0,70.0,82.0
31,2023,4b,250.0,237.0,Bajo,Rural,SLEP,73.0,72.0,69.0,75.0
31,2024,4b,268.0,255.0,Bajo,Rural,SLEP,78.0,74.0,69.0,77.0
31,2025,4b,253.0,250.0,Bajo,Rural,SLEP,73.0,72.0,75.0,66.0
32,2016,4b,248.0,243.0,Medio bajo,Rural,Municipal,73.0,74.0,71.0,80.0
32,2017,4b,253.0,246.0,Bajo,Rural,Municipal,72.9056748884694,68.51592738054485,68.59869893604271,73.01942044727052
32,2022,4b,232.0,251.0,Bajo,Rural,SLEP,72.0,74.0,68.0,78.0
32,2023,4b,290.0,300.0,Bajo,Rural,SLEP,79.0,73.0,69.0,79.0
32,2024,4b,289.0,289.0,Bajo,Rural,SLEP,80.0,78.0,72.0,83.0
32,2025,4b,291.0,293.0,Bajo,Rural,SLEP,81.0,80.0,83.0,74.0
33,2016,4b,293.0,281.0,Medio bajo,Rural,Municipal,77.0,80.0,83.0,81.0
33,2017,4b,291.0,254.0,Medio bajo,Rural,Municipal,76.1904993972819,75.6733350253783,65.27823420028132,80.53008953540865
33,2022,4b,295.0,294.0,Bajo,Rural,SLEP,70.0,75.0,63.0,77.0
33,2023,4b,271.0,259.0,Medio bajo,Rural,SLEP,76.0,79.0,72.0,82.0
33,2024,4b,306.0,330.0,Bajo,Rural,SLEP,73.0,78.0,67.0,77.0
33,2025,4b,302.0,304.0,Bajo,Rural,SLEP,85.0,80.0,85.0,74.0
35,2016,4b,258.0,246.0,Medio bajo,Rural,Municipal,78.0,66.0,65.0,66.0
35,2017,4b,272.0,282.0,Medio bajo,Rural,Municipal,81.24935584400116,82.27265092508559,75.25708856960496,85.53033566805043
35,2022,4b,237.0,237.0,Medio bajo,Rural,SLEP,74.0,72.0,65.0,73.0
35,2023,4b,221.0,231.0,Bajo,Rural,SLEP,76.0,70.0,65.0,77.0
35,2024,4b,238.0,243.0,Bajo,Rural,SLEP,79.0,75.0,71.0,84.0
35,2025,4b,260.0,262.0,Bajo,Rural,SLEP,73.0,79.0,80.0,73.0
36,2016,4b,235.0,246.0,Bajo,Urbano,Municipal,76.0,80.0,71.0,82.0
36,2017,4b,238.0,241.0,Bajo,Urbano,Municipal,77.29703707845077,72.83438730042845,69.93182129157707,75.41885040709226
36,2022,4b,232.0,240.0,Bajo,Urbano,SLEP,76.0,72.0,65.0,82.0
36,2023,4b,203.0,222.0,Bajo,Urbano,SLEP,79.0,68.0,75.0,85.0
36,2024,4b,233.0,222.0,Bajo,Urbano,SLEP,80.0,75.0,71.0,80.0
36,2025,4b,260.0,254.0,Bajo,Urbano,SLEP,90.0,85.0,93.0,76.0
38,2016,4b,267.0,275.0,Bajo,Rural,Municipal,76.0,77.0,68.0,80.0
38,2017,4b,245.0,242.0,Bajo,Rural,Municipal,73.45426391347411,71.00064442149836,67.92012402547395,77.58164834896621
38,2022,4b,245.0,251.0,Bajo,Rural,SLEP,76.0,80.0,70.0,82.0
