rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
97,2018,2m,215.0,220.0,Medio bajo,Urbano,Municipal,73.046954894,71.697047688,66.751752435,72.894064695
97,2022,2m,226.0,220.0,Medio bajo,Urbano,Municipal,73.0,73.0,63.0,76.0
97,2023,2m,210.0,209.0,Bajo,Urbano,Municipal,70.0,67.0,72.0,74.0
97,2024,2m,225.0,217.0,Bajo,Urbano,SLEP,68.0,65.0,65.0,71.0
97,2025,2m,234.0,222.0,Medio bajo,Urbano,SLEP,71.0,70.0,70.0,65.0
103,2016,2m,213.0,239.0,Medio,Urbano,Municipal,71.0,74.0,70.0,80.0
103,2017,2m,218.0,248.0,Medio,Urbano,Municipal,76.82765194238398,76.02787696484236,76.46169818190347,85.46643996002422
103,2018,2m,243.0,246.0,Medio,Urbano,Municipal,72.095140934,73.796572789,72.075106574,76.445325346
103,2022,2m,222.0,246.0,Medio,Urbano,Municipal,70.0,76.0,65.0,74.0
103,2023,2m,238.0,263.0,Medio,Urbano,Municipal,78.0,76.0,71.0,80.0
103,2024,2m,245.0,265.0,Medio,Urbano,SLEP,69.0,72.0,65.0,74.0
103,2025,2m,236.0,250.0,Medio,Urbano,SLEP,73.0,76.0,78.0,64.0
106,2016,2m,235.0,217.0,Medio bajo,Urbano,Particular subvencionado,78.0,77.0,76.0,85.0
106,2017,2m,232.0,211.0,Medio bajo,Urbano,Particular subvencionado,76.99892654339486,74.19622307342694,64.63323250220222,77.71377186961769
106,2018,2m,226.0,209.0,Medio bajo,Urbano,Particular subvencionado,76.264384861,76.349768334,68.97299909,79.242262389
106,2022,2m,222.0,212.0,Medio bajo,Urbano,Particular subvencionado,77.0,78.0,71.0,83.0
106,2023,2m,233.0,226.0,Medio bajo,Urbano,Particular subvencionado,81.0,79.0,78.0,84.0
106,2024,2m,238.0,231.0,Medio bajo,Urbano,Particular subvencionado,80.0,76.0,74.0,82.0
106,2025,2m,228.0,234.0,Bajo,Urbano,Particular subvencionado,74.0,73.0,74.0,76.0
107,2016,2m,225.0,229.0,Medio bajo,Urbano,Municipal,72.0,70.0,61.0,71.0
107,2017,2m,227.0,232.0,Medio bajo,Urbano,Municipal,70.02053391185117,70.55380022533005,63.78510152731447,71.76585830946955
107,2018,2m,240.0,238.0,Medio bajo,Urbano,Municipal,70.40337267,71.443978584,64.056339475,72.050838342
107,2022,2m,215.0,230.0,Medio bajo,Urbano,Municipal,73.0,76.0,68.0,83.0
107,2023,2m,237.0,232.0,Medio bajo,Urbano,Municipal,74.0,76.0,75.0,80.0
107,2024,2m,223.0,235.0,Medio bajo,Urbano,SLEP,72.0,74.0,73.0,76.0
107,2025,2m,235.0,229.0,Medio bajo,Urbano,SLEP,72.0,72.0,74.0,70.0
108,2016,2m,189.0,189.0,Medio bajo,Urbano,Municipal,70.0,64.0,61.0,68.0
108,2017,2m,196.0,199.0,Bajo,Urbano,Municipal,69.95460283447397,64.10849940400524,60.90981636671534,69.89446841262367
108,2018,2m,207.0,228.0,Medio bajo,Urbano,Municipal,76.694501936,72.468234168,66.362224886,76.493183825
108,2022,2m,209.0,205.0,Medio bajo,Urbano,Municipal,74.0,76.0,69.0,78.0
108,2023,2m,199.0,213.0,Medio bajo,Urbano,Municipal,78.0,77.0,75.0,80.0
108,2024,2m,218.0,215.0,Bajo,Urbano,SLEP,70.0,70.0,69.0,71.0
108,2025,2m,220.0,207.0,Bajo,Urbano,SLEP,72.0,72.0,74.0,73.0
109,2016,2m,198.0,201.0,Medio bajo,Urbano,Municipal,72.0,63.0,53.0,60.0
109,2017,2m,201.0,228.0,Medio bajo,Urbano,Municipal,77.70797694162133,73.80944153897762,63.7367788347511,75.42838439547857
109,2018,2m,210.0,228.0,Medio bajo,Urbano,Municipal,75.853676522,75.81334632,69.308115757,80.263150778
109,2022,2m,206.0,207.0,Medio bajo,Urbano,Municipal,72.0,69.0,70.0,76.0
109,2023,2m,225.0,217.0,Medio bajo,Urbano,Municipal,72.0,68.0,72.0,72.0
109,2024,2m,220.0,229.0,Medio bajo,Urbano,SLEP,75.0,72.0,76.0,78.0
109,2025,2m,221.0,214.0,Medio bajo,Urbano,SLEP,67.0,64.0,69.0,68.0
110,2016,2m,230.0,259.0,Medio,Urbano,Municipal,72.0,73.0,56.0,76.0
110,2017,2m,229.0,258.0,Medio,Urbano,Municipal,69.2150589279911,71.31910953940435,61.16039011559646,74.00989819475926
110,2018,2m,229.0,266.0,Medio bajo,Urbano,Municipal,73.337306972,74.138135813,63.111542782,77.075238659
110,2022,2m,220.0,208.0,Medio bajo,Urbano,Municipal,69.0,71.0,66.0,72.0
110,2023,2m,229.0,247.0,Medio,Urbano,Municipal,70.0,68.0,73.0,74.0
110,2024,2m,234.0,254.0,Medio bajo,Urbano,SLEP,69.0,73.0,73.0,75.0
110,2025,2m,231.0,253.0,Medio bajo,Urbano,SLEP,72.0,74.0,76.0,73.0
124,2016,2m,208.0,211.0,Medio bajo,Urbano,Municipal,75.0,72.0,63.0,72.0
124,2017,2m,210.0,225.0,Medio bajo,Urbano,Municipal,71.46643547402769,67.92269138396821,64.68640871259915,70.0168334373747
124,2018,2m,214.0,226.0,Medio bajo,Urbano,Municipal,70.271439898,69.273426205,65.587028055,71.35218189
124,2022,2m,208.0,200.0,Medio bajo,Urbano,Municipal,71.0,70.0,64.0,73.0
124,2023,2m,231.0,217.0,Bajo,Urbano,Municipal,70.0,69.0,68.0,71.0
124,2024,2m,236.0,226.0,Medio bajo,Urbano,SLEP,69.0,67.0,67.0,69.0
124,2025,2m,223.0,227.0,Medio bajo,Urbano,SLEP,68.0,69.0,69.0,70.0
125,2016,2m,195.0,208.0,Medio,Urbano,Municipal,71.0,62.0,67.0,62.0
125,2017,2m,207.0,203.0,Medio,Urbano,Municipal,72.79534862768006,68.64570680228559,66.30882287612573,72.33916433077749
125,2018,2m,228.0,242.0,Medio bajo,Urbano,Municipal,65.950735762,69.033458111,59.241168808,74.18152383
125,2022,2m,231.0,222.0,Medio bajo,Urbano,Municipal,76.0,76.0,74.0,81.0
125,2023,2m,240.0,232.0,Medio bajo,Urbano,Municipal,76.0,78.0,77.0,80.0
125,2024,2m,223.0,247.0,Medio bajo,Urbano,SLEP,75.0,78.0,76.0,80.0
125,2025,2m,228.0,233.0,Medio bajo,Urbano,SLEP,74.0,74.0,74.0,74.0
